user_idx,combined_text
21,"真心大推薦鬆餅 真的是台灣最好吃的鬆餅
天然的麵粉香 自制不加發泡劑的奶油
還有一定要喝白蘭地咖啡 跟泡泡一起喝就真的像喝白蘭地一樣 香氣久久不散在口中化開 … 巴斯克蛋糕非常的好吃綿密！"
22,鬆餅獨特的口感搭配老闆的手沖咖啡，非常棒的體驗。老闆很有熱誠地介紹每一樣產品，也會讓客人聞咖啡豆和磨出來的咖啡粉味道，很用心。最後還招待了有玉蘭花和白蘭地香氣的咖啡，平常就有自己做手沖咖啡的習慣，非常佩服老闆的功力。 老闆與闆娘非常認真對待每一杯咖啡，且非常親切！ 這是我喝過全世界最好喝的拿鐵，就在花蓮！味道簡直絕了！我要把行李箱裝滿這些咖啡豆！
23,CP值非常高的咖啡廳！餐點美味，氣氛佳！花蓮在地人真心推薦！ 很適合聊天的地方～
24,"鬆餅的口感很特別，要遵照老闆的指示才能吃到最好的滋味唷！
奶酒冰淇淋三種吃發三種感受，沒拍照就完食了😅 … 咖啡很好喝 蛋糕很好吃 😋
貓咪非常親人
環境很棒👍推推哦！ …"
25,"位在街頭邊間，空間不大但是採光因此非常好！
對面有公園可以停車，停車算方便。 … 鬆餅超好吃 不愧是全台最強
奶油超好吃 入口即化😋
貝里斯奶酒冰淇淋激推🌟 …"
26,"其實，只是經過，哈哈哈。老闆就衝出來說下午已經額滿。

第二次再訪，老闆熱心介紹+珍心款待=真的是特別的口味，老闆棒棒。心意無價 喵星人國王+貓咪皇后的童話世界！網美的咖啡星球之旅。做貓咪~好像比做人還幸福呢"
27,鬆餅外酥內軟，有空氣感，有特色，鮮奶油吃起來很順口，咖啡也非常香 咖啡好喝，甜點也好吃，店內的貓完全不怕人
28,"老闆對咖啡非常專業👀
可以喝到很多
不同風味的咖啡☕️ … 很舒服的地方 剛剛買兩杯拿鐵，非常好喝，且咖啡口感品質高"
29,餐廳風格很特別，貓咪很可愛親人 好吃好喝服務親切，拍照打卡好景點。
30,環境很棒，甜點很棒，美式跟布朗尼很搭，五星推。 手沖咖啡品質很好，價格合理，喝的出老闆的堅持XD，鬆餅也很棒，環境舒適整潔，整體五星推薦。 咖啡還不錯，環境清優，服務態度亦佳
31,清爽的鬆餅配上奶味濃厚的自製奶油，很喜歡加了蝶豆花的冰檸咖啡，味道很特別好喝 單品咖啡好喝，老闆會詢問喜好推薦，黑咖啡不用加糖順口，卡士達草莓派也超好吃
32,這是離飯店最近步行可以到的一家下午茶餐廳，內部空間不大但很溫馨，前往的朋友要注意營業時間只到18:00。 若是純品咖啡來這就對了，雖然沒有網紅景點但咖啡真的很到位，記得一定要吃鬆餅。
33,"鬆餅世界好吃,老闆還會介紹吃法.咖啡有特色 咖啡好喝"
34,很喜歡的店家，尤其是金佶冰釀咖啡我最愛喝了👍🏽很推唷! … 老闆很認真的做鬆餅，很仔細地講解鬆餅的吃法，真的沒有吃過這麼好吃的鬆餅！！！！！外酥內軟已經無法形容了！原來這才是名副其實的鬆餅！！！我來不及拍照就被我秒殺了！！歡迎大家一定要來吃❤️❤️❤️❤️❤️
35,"禮拜天隨性出遊，在花蓮火車站租了機車之後，想找一間咖啡館慢慢享受，沒想到網路上評價高的老屋咖啡沒開，這裡附近的某家咖啡館被包場，誤打誤撞走進了這裡； … 按照老闆的SOP吃鬆餅 是外面吃不到的口感
😋😋😋
手沖咖啡必喝 多人點不同的 可以品嚐不同風味 👍👍👍 …"
36,"鬆餅跟蛋糕都非常好吃！！
今天剛好沒點飲料，不過聽友人說咖啡和飲品都很好喝～
店家對寵物友善，可以牽繩就進入 … 在網路上搜尋到這間店
昨天去吃了果然沒讓我失望
老闆很熱心、專業介紹咖啡種類 …"
37,狂推奶油鬆餅🥞，奶油入口即化，不會甜膩！鬆餅有別於一般軟綿，咬下去是脆脆的，勘稱全台最好吃鬆餅不為過！😋😋 … 雞腿有入味，沙拉大份，完全不怕妳吃，哈哈😄 …
38,"好吃 好拍 擺設真的是充滿驚奇ಠ_ಠ
餐點都很平價，味道還不錯，蠻乾淨的食材。
來之前建議要訂位，桌上都有附設起司粉、番茄醬還要辣椒醬的醬料。
目前吃到都沒有什麼大缺點，推薦來這邊玩的朋友可以去吃吃看。 手沖咖啡很好喝(⁎⁍̴̛ᴗ⁍̴̛⁎)
貓貓可愛 自製優格很好吃喔(⁎⁍̴̛ᴗ⁍̴̛⁎)～
蛋糕也是超級好吃 重點是老闆&老闆娘人都超好的～～ 還有可愛的店貓 老闆很好聊天，咖啡很美味 氣氛很好 非常可愛的小店！（可惜我這次是外帶）
有禮盒可以做挑選～好喜歡洛神的🥰 … 美式咖啡分成多種口感 非常好喝
手沖的部分還算不錯會給同行的人share
甜點部分首推檸檬塔 第二是抹茶戚風 店員姊姊人很好店裏氣氛不算吵雜適合帶朋友來小聊"
39,"先說負評的主要原因，提供的飲用水有很重的消毒水味，很難喝。

前幾週跟朋友一起造訪，友人們有點鬆餅，他們有吃的說好吃，我自己沒吃就不評論了。 … 可惜半寓1.0結束，期待半寓2.0的開始 家住北濱街的我這幾年不知道經過了幾百次，因為半寓暫時收店的緣故使我走了進去。寒冷的東北季風、溫暖熟悉的手沖咖啡。因為庫存的單品豆實在有點太多所以不敢狠下心來再多買，改天會再光顧買豆子的！ 很日式很日式，少見的手沖手法，下次有機會的話想問看看有沒有虹吸壺加上陶瓷濾棒的沖煮可以喝"
40,"不管是夜間還是下午

非常適合來耍廢的地方 … 鬆餅真的是太好吃了

就算剛吃完午餐的你我 … 太鼓餅：

滿滿的松露氣恰到好處 … 老闆人超好

喝過這邊咖啡 … 濕涼的週日午後

肚子微微的飢餓 … 牛肉非常好吃

能在中午吃到牡蠣真的很爽 …"
41,"咖啡、甜食真的很頂，可以強烈感受到老闆的職人精神 我的天啊，這間店除了飲品專業好喝，布丁爽口不會太甜膩，貓貓叫大老爺也算敬業上班。
最讚的是這間店冷氣開《舒眠》我直接在座位區睡死，整間店都太舒服了。
如果你有玩寶可夢，這裡有兩個補給站，讚。"
42,"拿鐵好喝👍 服務親切  肉桂捲也超好吃 😋 … 每次 來花蓮 都一定必來吃的 超好吃鬆餅
真的 超級好吃  ❤️👍 …"
43,很適合用電腦的咖啡店，檸檬塔跟咖啡都很棒! 鬆餅真的好好吃，吃了之後好感動🐟🐟🐟 …
44,"很有品味的咖啡廳，裡面很多老闆娘做的陶器很厲害 東西非常好吃 很推薦 老闆很熱心
非常推薦自己所做的食品
表達出自己的餐點的專業 …"
